Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Element Type","Temperature Range","Length - Lead Wire","Conductor Type","Terminal Type"
https://www.cynergy3.com/sites/default/files/IWTTU%202017.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1726-ND,IWTTUJ300A,Cynergy 3,TEMP SENSOR WIFI J TYPE 6X300MM,2,0,"379.77000","0","1","-","IWTTU","Active","J - Type","0 ~ 1200°C","-","Non-Grounded","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/IWTTU%202017.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1727-ND,IWTTUJ400A,Cynergy 3,TEMP SENSOR WIFI J TYPE 6X400MM,2,0,"379.77000","0","1","-","IWTTU","Active","J - Type","0 ~ 1200°C","-","Non-Grounded","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/IWTTU%202017.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1728-ND,IWTTUK150A,Cynergy 3,TEMP SENSOR WIFI K TYPE 6X150MM,2,0,"379.77000","0","1","-","IWTTU","Active","K - Type","0 ~ 1350°C","-","Non-Grounded","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/IWTTU%202017.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1729-ND,IWTTUK200A,Cynergy 3,TEMP SENSOR WIFI K TYPE 6X200MM,2,0,"379.77000","0","1","-","IWTTU","Active","K - Type","0 ~ 1350°C","-","Non-Grounded","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/IWTTU%202017.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1730-ND,IWTTUK300A,Cynergy 3,TEMP SENSOR WIFI K TYPE 6X300MM,2,0,"379.77000","0","1","-","IWTTU","Active","K - Type","0 ~ 1350°C","-","Non-Grounded","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/IWTTU%202017.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1731-ND,IWTTUK400A,Cynergy 3,TEMP SENSOR WIFI K TYPE 6X400MM,2,0,"379.77000","0","1","-","IWTTU","Active","K - Type","0 ~ 1350°C","-","Non-Grounded","Enclosed Terminals"
http://www.cynergy3.com/sites/default/files/IWTT%202018.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1706-ND,IWTTP100A,Cynergy 3,TEMP SENSOR WIFI PT100 6X100MM 1,2,0,"421.97000","0","1","-","IWTT","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
http://www.cynergy3.com/sites/default/files/IWTT%202018.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1707-ND,IWTTP150A,Cynergy 3,TEMP SENSOR WIFI PT100 6X150MM 1,2,0,"421.97000","0","1","-","IWTT","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
http://www.cynergy3.com/sites/default/files/IWTT%202018.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1708-ND,IWTTP200A,Cynergy 3,TEMP SENSOR WIFI PT100 6X200MM 1,2,0,"421.97000","0","1","-","IWTT","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
http://www.cynergy3.com/sites/default/files/IWTT%202018.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1709-ND,IWTTP250A,Cynergy 3,TEMP SENSOR WIFI PT100 6X250MM 1,2,0,"421.97000","0","1","-","IWTT","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
